ID,Name,Type,Country_Faction,Alignment,Position,Magic_School,Spell_Unlock,Region_State,Terrain_Affinity,Starting_Army_Name,Key_Traits,Narrative_Hook,Status,Notes
GOV_01,Patrick Henry,GOVERNOR_NAMED,USA / Patriot,PLAYER,ORATOR,,,,VA,,"Visionary, fire-brand, anti-centralist, principled","The revolution's loudest voice — and most suspicious of the government it's building. Events where ideological purity collides with pragmatic necessity.",IMPLEMENTED,Faction: Patriot. MilMods: Visionary(all) / Champion of Sun(L2+) / Healer(L3). Leads Sons of Liberty.
GOV_02,Abigail Adams,GOVERNOR_NAMED,USA / Moderate,PLAYER,DIPLOMAT,,,,MA,,"Intellectual, conscience, feminist, patient","The voice that keeps the movement honest about who it's actually for. Events about inclusion, compromise, and what the revolution is willing to become.",IMPLEMENTED,Faction: Moderate. Leads Continental Congress.
GOV_03,Thomas Paine,GOVERNOR_NAMED,USA / Radical,PLAYER,SCHOLAR,,,,PA (immigrant),,"Idealist, incendiary, stateless, visionary","The man who lit the fire with a pamphlet. Events where principles collide with governance — he trusts the people absolutely and is sometimes wrong.",IMPLEMENTED,Faction: Radical. Leads Free Workers Union.
GOV_04,Mercy Otis Warren,GOVERNOR_NAMED,USA / Patriot,PLAYER,SCHOLAR,,,,MA,,"Sharp, satirical, principled, overlooked","The historian watching the revolution happen. Events where what's being recorded matters as much as what's being done. Abolitionist themes.",IMPLEMENTED,Faction: Patriot. Leads Abolitionist League.
GOV_05,Daniel Shays,GOVERNOR_NAMED,USA / Populist,PLAYER,FARMER,,,,MA,,"Betrayed, resolute, working-class, stubborn","The revolution that got left behind. Events about what the new government owes the people who fought for it. Tenant farmers / debt / land.",IMPLEMENTED,Faction: Populist. Leads Common Cause.
GOV_06,Ualani Carlisle,GOVERNOR_NAMED,USA / Federal,PLAYER,PRESIDENT & COMMANDER,,,,DC (HI origin),,"Bold, sardonic, restless, leads from front","The player character. Events that put the presidency on the line — DC falls / morale collapses / impossible choices. 17 security detail objections unread.",IMPLEMENTED,Faction: Federal. Starts Tile 188 (DC). Level 3. Commands APF personally.
GOV_07,Benjamin Tallmadge,GOVERNOR_NAMED,USA / Patriot,PLAYER,SPYMASTER,,,,CT / NY Metro,Suburbs|Metro,,Methodical / loyal / paranoid / meticulous,"The Culper Ring is back. Events where intelligence is the weapon — double agents, intercepted dispatches, turning loyalists. Perfect anchor for Codebook spy system.",ADDED,Faction: Patriot (Sons of Liberty affiliate). Historical: ran Washington's spy network 1778-1783. Pairs with Codebook CPF system.
GOV_08,Phillis Wheatley,GOVERNOR_NAMED,USA / Abolitionist League,PLAYER,HERALD,,,,MA / Metro,Metro|Suburbs,,Eloquent / principled / transcendent / overlooked,"Her poetry is reaching British-held territories and stoking rebellion from within. Events about cultural power as a weapon — words that outlast cannon fire.",ADDED,Faction: Abolitionist League. Historical: first published African American poet (1773). Named representative for NP_04 cultural pool in story events.
GOV_09,Francis Asbury,GOVERNOR_NAMED,USA / Common Cause,PLAYER,CIRCUIT PREACHER,,,,VA / Frontier,Woods|Foothills|Farmlands,,Tireless / fire-and-brimstone / democratic / anti-slavery,"300k miles of preaching in territory armies can't reach. Events about organizing the unorganized — frontier settlements / revival culture / faith as resistance.",ADDED,Faction: Common Cause. Historical: 'Father of American Methodism.' Gives faith/harmony system a named face. Terrain: Woods/Foothills.
NPC_01,Lord Cornwallis,FACTION_LEADER,UK / Crown Loyalists,ENEMY,GENERAL,,,,VA / Carolinas,,"Aristocratic, dutiful, humiliated, competent","The man who surrendered Yorktown and can't forget it. Events that make him reluctant to repeat that mistake — or force him into exactly that position again.",IMPLEMENTED (NAME ONLY),Leads Crown Loyalists. Level 2. Starts Tile 14. Needs full governor.gd entry if used in UK-side events.
NPC_02,General Howe,FACTION_LEADER,UK / Military Command,ENEMY,FIELD COMMANDER,,,,NY / MA,,"Cautious, political, frustrated, capable","The general who hesitated at Brooklyn when he could have ended it. Events about military authority vs. political restraint — and what happens when hesitation has a cost.",IMPLEMENTED (NAME ONLY),Leads Tory Merchants + Military Command. Level 2. Starts Tile 14. Needs fleshing for events.
NPC_03,Governor Carleton,FACTION_LEADER,CA / French Habitants,NEUTRAL,COLONIAL GOVERNOR,,,,QC / Montreal,,"Pragmatic, caught between, loyalist by duty, sympathetic","Canada's impossible position — colonial by law, revolutionary by proximity. Events about who Canada's loyalty actually belongs to.",IMPLEMENTED (NAME ONLY),Leads French Habitants + British Settlers + Indigenous Allies. Level 1. Starts Tile 201.
NPC_08,Jessica Clear-Water,GOVERNOR_NAMED,CA / Indigenous Allies,NEUTRAL,LEADER & CHIEF,,,,CA - OT / Ottawa,,"Principled, direct, unbothered by protocol, always right about Britain","Canada's de facto leader. Events about sovereignty, land rights, and what an alliance with the Continental Republic actually means for her people. The pivot character of the Canadian arc.",IMPLEMENTED,isLeader=true. Faction: Indigenous Allies. Level 3. Starts Tile 201 (Ottawa). CAN_CLEARWATER_01 arc. questComplete=true.
NPC_09,Mark Penoit,GOVERNOR_NAMED,CA / French Habitants,NEUTRAL,DEPUTY GOVERNOR,,,,CA - QB / Saint-Georges,,"Pragmatic, military, stubborn, loyal on his own terms","Jessica's counterweight — he thinks in fortifications where she thinks in futures. Events about the gap between alliance theory and battlefield reality. The man holding the eastern flank.",IMPLEMENTED,isVicePresident=true (double milMod as army commander). Faction: French Habitants. Level 2. Starts Tile 99 (Saint-Georges). CAN_PENOIT_01 arc.
NPC_04,Calico Jack,FACTION_LEADER,BA / Nassau Pirates,VARIABLE,PRIVATEER,,,,Bahamas,,"Theatrical, mercenary, pragmatic, effective","The document in the dramatic coat. Events about the alliance of convenience — Nassau fights British for profit first patriotism second and the Republic should not forget this distinction.",IMPLEMENTED,Leads Nassau Pirates + Loyalist Refugees. Level 1. Alliance triggered by CL_182. Army: Nassau Raiders.
NPC_05,Patricia Eubanks,EVENT_NPC,GEN,NEUTRAL,GETTYSBURG DOCENT,,,PA,Farmlands,,Exhausted / professional / wry / unflappable,"She has narrated this field twice. Events where institutional memory — someone who just keeps showing up — becomes the emotional anchor of a moment.",IMPLEMENTED,Featured in CL_006 / CX_005. 'Three days. Last time it was three days.'
NPC_06,Joseph Brant (Thayendanegea),EVENT_NPC,Indigenous / UK Ally,VARIABLE,MOHAWK WAR CHIEF,,,,NY / Mohawk Valley,Woods|Foothills,,Strategic / proud / pragmatic / betrayed by everyone,"Allied with the British because American expansion is the greater threat. Can be shown a different way — but only if the Republic can prove it means something different. Variable alignment event tree.",PROPOSED,Historical: Mohawk leader during Revolution. Starting ENEMY. Conversion arc possible via Abigail Adams or Phillis Wheatley events. Uses NP_07 names pool.
NPC_07,Anne Bonny,EVENT_NPC,BA / Nassau Pirates,VARIABLE,PRIVATEER,,,,Caribbean / Bahamas,,"Fearless, charismatic, expensive, dangerous","She has a letter of marque and a grudge against the Royal Navy. Will raid British supply lines for the right price — but she operates on her own terms and her terms change.",PROPOSED,Historical pirate (game is already anachronistic). Nassau affiliate or independent. Naval combat events. Can be ally / mercenary / wild card.
PROT_01,Mothman,PROTECTOR,USA,PLAYER,AERIAL SURVEYOR,Cryptid,FEDERAL ATMOSPHERIC SURVEILLANCE ACT,WV,Foothills,,"Urgent / sleepless / omniscient / misunderstood","Has been trying to warn people for decades. Nobody listened until now. Events where intelligence comes from impossible sources — and what do you do when the warning is real.",IMPLEMENTED,Summon event: PROT_01_SUMMON. Content flag: kinky_lewd. Resource unlock: food (20-35). Dev req: 3.
PROT_02,Jersey Devil,PROTECTOR,USA,PLAYER,TERRITORIAL ASSET,Cryptid,PINE BARRENS DEVELOPMENT MORATORIUM,NJ,Wetlands,,"Territorial / hostile / primordial / born wrong","Born under controversial circumstances in the Pine Barrens. Does not negotiate territory. Does not discuss his mother. Events about belonging to a place so completely it becomes defense.",IMPLEMENTED,Summon event: PROT_02_SUMMON. Resource unlock: weapons (15-25). Dev req: 2.
PROT_03,Bigfoot,PROTECTOR,USA,PLAYER,STEALTH ASSET,Cryptid,PACIFIC NORTHWEST PRIVACY PROTECTION ACT,,Woods,,"Enormous / quiet / principled / confirmed by footprint","Communicates through action rather than statement. Events where solidarity shows up as presence — vast and undeniable and officially denied. Eleven counties of footprints.",IMPLEMENTED,Summon event: PROT_03_SUMMON. Resource unlock: wood (25-40). Dev req: 3.
PROT_04,Thunderbird,PROTECTOR,USA,PLAYER,WEATHER ASSET,Storm,EXECUTIVE WEATHER CONTROL INITIATIVE,NY,Woods,,"Ancient / immense / sovereign / reluctant","Indigenous skies reclaiming themselves. Events where the revolution aligns with older grievances — the storm does not fight for the Republic so much as against the same enemy.",IMPLEMENTED,Summon event: PROT_04_SUMMON. Resource unlock: culture (20-35). Dev req: 3.
PROT_05,Headless Horseman,PROTECTOR,USA,PLAYER,PSYCHOLOGICAL ASSET,Spectral,CLASSIFIED TACTICAL TERROR BUDGET,NY,Woods,,"Headless / aggressive / terrifying / surprisingly loyal","Cannot aim. Compensates with enthusiasm. Events where fear is the mission — Hudson Valley haunting runs / morale operations / British officers who decline to specify what they saw.",IMPLEMENTED,Summon event: PROT_05_SUMMON. Resource unlock: dollars (25-40). Dev req: 4.
PROT_06,Chessie,PROTECTOR,USA,PLAYER,NAVAL DETERRENT,Storm,CHESAPEAKE WATERS RECLAMATION PROJECT,MD,Wetlands,,"Ancient / vast / cooperative (with oysters) / diplomatic","Stirring the bay and bringing forth bounty. Events about what belongs to the water and what the water will protect. Three Royal Navy frigates reporting unexplained weather damage.",IMPLEMENTED,Summon event: PROT_06_SUMMON. Resource unlock: food (30-50). Dev req: 2.
PROT_07,The Bell Witch,PROTECTOR,USA,PLAYER,PSYCHOLOGICAL WARFARE,Storm,DEPARTMENT OF PSYCHOLOGICAL OPERATIONS,TN,Foothills,,"Independent / hostile / precise / terrifying in beds","Operates on her own terms. Does not follow orders — only alignment of interests. Events where psychological pressure becomes military advantage. Andrew Jackson will not return to that farmhouse.",IMPLEMENTED,Summon event: PROT_07_SUMMON. Resource unlock: magic (10-20). Dev req: 3.
PROT_08,Old Ironsides,PROTECTOR,USA,PLAYER,NAVAL SUPERIORITY,Iron,NAVAL SUPERIORITY MAINTENANCE DIRECTIVE,NH,Wetlands (Fixed Tile 63),,"Unsinkable / refuses retirement / has eaten admirals / impossible","The ship that cannot die. Events about legacy and refusal — things that are too important to let go even when the official order comes down. Three admirals tried.",IMPLEMENTED,Summon event: PROT_08_SUMMON. Fixed tile 63. Resource unlock: weapons (30-50). Dev req: 5.
PROT_09,Valley Forge Guardian,PROTECTOR,USA,PLAYER,WINTER RESILIENCE,Iron,COLD WEATHER RESILIENCE FUNDING ACT,PA,Fortress (Fixed Tile 1),,"Frozen / vast / collective / the army that stayed","Not Washington — the army itself. Events about what endurance means when there is nothing left but staying. The ground that remembers starving and still holds the line.",IMPLEMENTED,Summon event: PROT_09_SUMMON. Fixed tile 1. Resource unlock: manpower (50-80). Dev req: 4.
PROT_10,Snallygaster,PROTECTOR,USA,PLAYER,TERRITORIAL ASSET,Cryptid,INTER-AGENCY CRYPTID INTEGRATION PROGRAM,MD,Foothills,,"Half-reptile / half-bird / aggressively territorial / German-immigrant folklore","Bridges Old World fears and New World land. Events about settlers and what they carried with them — and what the mountains had here long before anyone carried anything.",IMPLEMENTED,Summon event: PROT_10_SUMMON. Resource unlock: metal (15-25). Dev req: 3.
PROT_11,Paul Revere,PROTECTOR,USA,PLAYER,RAPID MOBILIZATION,Liberty,MIDNIGHT EMERGENCY MOBILIZATION ORDER,MA,Suburbs,,"Agitated / fast / loud / one more time","He has done this before and he will do it again with the same energy as the first time. Events about urgency — the moment when the warning has to reach everyone and there is exactly one ride to do it.",IMPLEMENTED,Summon event: PROT_11_SUMMON. Resource unlock: culture (20-35). Dev req: 3.
PROT_12,Liberty Bell,PROTECTOR,USA,PLAYER,MORALE / MANDATE,Liberty,FREEDOM RESONANCE AMPLIFICATION DECREE,PA,Metro (Fixed Tile 2),,"Cracked / resonant / permanent / no one takes responsibility for the crack","The crack is a feature. Events about symbols and what they mean after they've broken — still ringing, still carrying, still the point.",IMPLEMENTED,Summon event: PROT_12_SUMMON. Fixed tile 2. Resource unlock: dollars (30-50). Dev req: 4.
