button_id,event_id,button_text,button_type,outcome_type,outcome_value,outcome_amount,loyalty_change,tile_effect,army_effect,next_event_id,prerequisite_flag
DE_001_BTN1,DE_001,Rally the Nation,standard,morale_boost,,20,,,,,
DE_001_BTN2,DE_001,Read the Briefing,standard,nothing,,,,,,,
DE_002_BTN1,DE_002,Happy New Year (Reluctantly),standard,resource_change,food,10,,,,,
DE_003_BTN1,DE_003,Send a Letter Home,standard,loyalty_change,Sons of Liberty,5,,,,,
DE_003_BTN2,DE_003,Intercept the Report,standard,resource_change,gold,15,,,,,
DE_004_BTN1,DE_004,Deliver Remarks,standard,morale_boost,,25,,,,,
DE_004_BTN2,DE_004,Observe Quietly,standard,nothing,,,,,,,
DE_005_BTN1,DE_005,Acknowledge the Asset,standard,set_flag,mothman_available,0,,,,,
DE_005_BTN2,DE_005,No Comment,standard,nothing,,,,,,,
CL_182_BTN1,CL_182,Accept the Alliance,standard,resource_change,weapons,30,,,,,
CL_182_BTN2,CL_182,Grant Safe Harbor,standard,loyalty_change,Nassau Pirates,15,,,,,
CL_182_BTN3,CL_182,Commission the Fleet,standard,set_flag,nassau_privateers_active,0,,,,,
CL_001_BTN1,CL_001,Open the Stock Exchange,standard,resource_change,gold,30,,,,,
CL_001_BTN2,CL_001,Secure the Harbor,standard,army_buff,defense_bonus,3,,,,,
CL_001_BTN3,CL_001,Summon Liberty,standard,trigger_event,PROT_09_SUMMON,0,,,,,
CL_006_BTN1,CL_006,Honor the Memorial,standard,morale_boost,,15,,,,,
CL_006_BTN2,CL_006,Brief Patricia Eubanks,standard,set_flag,eubanks_briefed,0,,,,,
CL_007_BTN1,CL_007,Restore the Harvest,standard,resource_change,food,25,,,,,
CL_007_BTN2,CL_007,Enter in Ledger,standard,resource_change,gold,10,,,,,
CL_009_BTN1,CL_009,Accept the Provisions,standard,resource_change,food,20,,,,,
CL_009_BTN2,CL_009,Update Supply Ledger,standard,nothing,,,,,,,
CX_001_BTN1,CX_001,Relocate to Valley Forge,standard,morale_boost,,10,,,,,
CX_001_BTN2,CX_001,Issue a Statement,standard,loyalty_change,Continental Congress,5,,,,,
CX_005_BTN1,CX_005,Coordinate Recapture,standard,army_buff,attack_bonus,3,,,,,
CX_005_BTN2,CX_005,Support Patricia Eubanks,standard,set_flag,eubanks_supported,0,,,,,
SL_001_BTN1,SL_001,Ring the Liberty Bell,standard,morale_boost,,30,,,,,
SL_001_BTN2,SL_001,Begin Reconstruction,standard,resource_change,food,20,,,,,
SL_004_BTN1,SL_004,Accept Vermont's Terms,standard,loyalty_change,Common Cause,10,,,,,
SL_004_BTN2,SL_004,Yes I Want Some Apples,standard,resource_change,food,15,,,,,
CMD_MERIT_BTN1,CMD_MERIT,Issue the Promotion,standard,promote_commander,,,,,,,
CMD_MERIT_BTN2,CMD_MERIT,Add a Personal Note,standard,morale_boost,,15,,,,,
CMD_RECOG_BTN1,CMD_RECOGNITION,Present the Citation Formally,standard,promote_commander,,,,,,,
CMD_RECOG_BTN2,CMD_RECOGNITION,Address the Garrison in Their Honor,standard,claim_change,,1,,,,,
CMD_THANKS_BTN1,CMD_THANKS,A President's Personal Thanks,standard,morale_boost,,25,,,,,
CMD_THANKS_BTN2,CMD_THANKS,The Full Presidential Visit,explicit,morale_boost,,40,,,,,
FORT_001_BTN1,FORT_001,Make an Example of Him — Confront Publicly,standard,set_mission_flag,FORT_003,6,,,,,
FORT_001_BTN2,FORT_001,Handle It Quietly — Visit Privately,standard,set_mission_flag,FORT_004,6,,,,,
FORT_003_BTN1,FORT_003,Remove the Commander,standard,remove_governor,,,,,,,
FORT_004_BTN1,FORT_004,Accept the Resolution,standard,repair_fort,,,,,,,FORT_005,
FORT_005_BTN1,FORT_005,The Full Classified Briefing,explicit,morale_boost,,30,,,,,
FORT_005_BTN2,FORT_005,Keep It Professional,standard,morale_boost,,10,,,,,
COLLAPSE_01_BTN1,COLLAPSE_01,Accept the Terms of Peace,standard,trigger_collapse,,0,,,,,
COLLAPSE_02_BTN1,COLLAPSE_02,The Long Night,explicit,morale_boost,,30,,,,,
COLLAPSE_02_BTN2,COLLAPSE_02,Hold the Line,standard,morale_boost,,10,,,,,
STATE_REBEL_01_BTN1,STATE_REBEL_01,Acknowledge the Secession,standard,nothing,,0,,,,,
STATE_REINTEGRATED_01_BTN1,STATE_REINTEGRATED_01,Pardon All — They Fought for What They Believed,standard,pardon_state_governors,,0,,,,,
STATE_REINTEGRATED_01_BTN2,STATE_REINTEGRATED_01,"Remove Them — Clean Slate, New Loyalty",standard,replace_state_governors,,0,,,,,
HARVEST_001_BTN1,HARVEST_001,Dispatch Ualani to the Farmlands — Station Army at [TILE_NAME],standard,set_mission_flag,HARVEST_VISIT_01,8,,,,,
HARVEST_001_BTN2,HARVEST_001,Accept the Shortage — Hold Position,standard,nothing,,0,,,,,
HARVEST_VISIT_01_BTN1,HARVEST_VISIT_01,Process the Harvest Report,standard,resource_change,food,60,,,,,
HARVEST_VISIT_01_BTN2,HARVEST_VISIT_01,Presidential Persuasion — Full Agricultural Engagement,explicit,resource_change,food,80,,,,,
HARBOR_001_BTN1,HARBOR_001,Station a Naval Garrison — Secure the Dock,standard,set_mission_flag,HARBOR_ESCORT_01,8,,,,,
HARBOR_001_BTN2,HARBOR_001,Deny Access by Force — Destroy the Dock,standard,set_mission_flag,HARBOR_BURN_01,4,,,,,
HARBOR_ESCORT_01_BTN1,HARBOR_ESCORT_01,Process the Harbor Master's Report,standard,resource_change,food,30,,,,,
HARBOR_BURN_01_BTN1,HARBOR_BURN_01,File the Operations Report,standard,disable_building,Dock,8,,,,,
FORGE_001_BTN1,FORGE_001,Reinforce the Forge — Station Army at [TILE_NAME],standard,set_mission_flag,FORGE_REINFORCE_01,6,,,,,
FORGE_001_BTN2,FORGE_001,Emergency Evacuation — Extract the Weapons Cache,standard,set_mission_flag,FORGE_EVACUATE_01,4,,,,,
FORGE_REINFORCE_01_BTN1,FORGE_REINFORCE_01,Increase Production — Forge Secured,standard,resource_change,weapons,30,,,,,
FORGE_EVACUATE_01_BTN1,FORGE_EVACUATE_01,File the Extraction Report,standard,resource_change,weapons,25,,,,,
CORRUPT_001_BTN1,CORRUPT_001,Public Trial — Remove and Make an Example,standard,set_mission_flag,CORRUPT_TRIAL_01,8,,,,,
CORRUPT_001_BTN2,CORRUPT_001,Private Deal — Negotiate a Resolution,standard,set_mission_flag,CORRUPT_DEAL_01,6,,,,,
CORRUPT_001_BTN3,CORRUPT_001,Investigate Further — No Action Yet,standard,nothing,,0,,,,,
CORRUPT_TRIAL_01_BTN1,CORRUPT_TRIAL_01,Accept the Verdict — Remove the Magistrate,standard,remove_governor,,0,,,,CORRUPT_REFORM_01,
CORRUPT_REFORM_01_BTN1,CORRUPT_REFORM_01,Implement the Reforms,standard,tile_moral_decay_change,,-50,,,,,
CORRUPT_DEAL_01_BTN1,CORRUPT_DEAL_01,Seal the Arrangement,standard,resource_change,gold,40,,,,,
BORDER_001_BTN1,BORDER_001,Assert Federal Authority — Station Army at [TILE_NAME],standard,set_mission_flag,BORDER_ASSERT_01,6,,,,,
BORDER_001_BTN2,BORDER_001,Open a Diplomatic Channel — Accept the Negotiation,standard,claim_change,,-1,,,,,
BORDER_001_BTN3,BORDER_001,Survey the Territory — Document the Claim,standard,set_mission_flag,BORDER_SURVEY_01,10,,,,,
BORDER_ASSERT_01_BTN1,BORDER_ASSERT_01,Hold the Line — Claim Established,standard,claim_change,,2,,,,,
BORDER_SURVEY_01_BTN1,BORDER_SURVEY_01,File the Survey — Territory Documented,standard,resource_change,gold,20,,,,,
GARRISON_001_BTN1,GARRISON_001,Emergency Supply Requisition — Spend Gold to Feed the Army,standard,resource_change,gold,-30,,,,,
GARRISON_001_BTN2,GARRISON_001,Ordered Tactical Retreat — Pull Back,standard,nothing,,0,,,,,
CRISIS_CLAIM_001_BTN1,CRISIS_CLAIM_001,National Address — Rally the Republic,standard,claim_change,,2,,,,,
CRISIS_CLAIM_001_BTN2,CRISIS_CLAIM_001,Emergency Decree — Assert Authority Directly,standard,claim_change,,3,,,,,
CRISIS_CLAIM_001_BTN3,CRISIS_CLAIM_001,Presidential Tour — Acknowledge the Failures,standard,claim_change,,1,,,,,
TURNCOAT_001_BTN1,TURNCOAT_001,Expose and Remove — Public Discharge,standard,remove_governor,,0,,,,,
TURNCOAT_001_BTN2,TURNCOAT_001,Turn Them — Feed Bad Intelligence to the Crown,standard,set_flag,double_agent_active,0,,,,,
TURNCOAT_001_BTN3,TURNCOAT_001,Watch and Wait — Gather More Evidence,standard,nothing,,0,,,,,
MEMORIAL_001_BTN1,MEMORIAL_001,Plan the Recapture — Retake [TILE_NAME],standard,set_mission_flag_own,MEMORIAL_RESTORE_01,12,,,,,
MEMORIAL_001_BTN2,MEMORIAL_001,Denounce the Occupation — Issue a Statement,standard,morale_boost,,10,,,,,
MEMORIAL_RESTORE_01_BTN1,MEMORIAL_RESTORE_01,Honor the Liberation,standard,morale_boost,,20,,,,,
UALANI_AMBUSH_BTN1,UALANI_AMBUSH_01,Fortify the Perimeter,standard,resource_change,weapons,25,,,,,
UALANI_AMBUSH_BTN2,UALANI_AMBUSH_01,Rally the Defense,standard,morale_boost,,25,,,,,
UALANI_AMBUSH_BTN3,UALANI_AMBUSH_01,The Full Counteroffensive Briefing,explicit,resource_change,weapons,40,,,,,
UALANI_DIGNITARY_BTN1,UALANI_DIGNITARY_01,Accept the State Commendation,standard,claim_change,,2,,,,,
UALANI_DIGNITARY_BTN2,UALANI_DIGNITARY_01,Deliver Brief Remarks,standard,claim_change,,1,,,,,
UALANI_DIGNITARY_BTN3,UALANI_DIGNITARY_01,The Full Presidential Reception,explicit,tile_moral_decay_change,,-20,,,,,
UALANI_MEMORIAL_BTN1,UALANI_MEMORIAL_01,Deliver the Presidential Address,standard,morale_boost,,40,,,,,
UALANI_MEMORIAL_BTN2,UALANI_MEMORIAL_01,Stand in Witness,standard,claim_change,,1,,,,,
UALANI_MEMORIAL_BTN3,UALANI_MEMORIAL_01,The Full Memorial Ceremony,explicit,morale_boost,,50,,,,,
UALANI_WOUNDED_BTN1,UALANI_WOUNDED_01,Walk the Wards — Address the Wounded,standard,morale_boost,,35,,,,,
UALANI_WOUNDED_BTN2,UALANI_WOUNDED_01,Full Field Hospital Authorization,explicit,resource_change,manpower,40,,,,,
UALANI_WINTER_BTN1,UALANI_WINTER_01,The Winter Address — Hold the Line,standard,claim_change,,2,,,,,
UALANI_WINTER_BTN2,UALANI_WINTER_01,Station Fires and Distribute Rations,standard,morale_boost,,20,,,,,
UALANI_FORGE_BTN1,UALANI_FORGE_01,Full Production Authorization,standard,resource_change,weapons,40,,,,,
UALANI_FORGE_BTN2,UALANI_FORGE_01,Civilian Oversight Committee,standard,tile_moral_decay_change,,-15,,,,,
UALANI_FORGE_BTN3,UALANI_FORGE_01,The Full Forge Inspection,explicit,resource_change,weapons,60,,,,,
UALANI_CULPER_BTN1,UALANI_CULPER_01,Accept the Full Intelligence Brief,standard,reveal_tiles,,0,,,,UALANI_CULPER_BRIEF_01,
UALANI_CULPER_BTN2,UALANI_CULPER_01,Compensate the Asset,standard,resource_change,gold,15,,,,,
UALANI_CULPER_BTN3,UALANI_CULPER_01,The Full Culper Meeting,explicit,resource_change,gold,40,,,,UALANI_CULPER_BRIEF_01,
UALANI_CULPER_BRIEF_BTN1,UALANI_CULPER_BRIEF_01,Activate the Culper Ring,standard,set_flag,culper_active,0,,,,,
UALANI_ALLIANCE_BTN1,UALANI_ALLIANCE_01,Accept the Alliance,standard,governor_loyalty_change,,6,,,,,
UALANI_ALLIANCE_BTN2,UALANI_ALLIANCE_01,Acknowledge the Offer,standard,claim_change,,1,,,,,
UALANI_ALLIANCE_BTN3,UALANI_ALLIANCE_01,The Full Alliance Council,explicit,governor_loyalty_change,,12,,,,,
UALANI_FRONTIER_BTN1,UALANI_FRONTIER_01,Frontier Proclamation — Assert Continental Sovereignty,standard,claim_change,,3,,,,,
UALANI_FRONTIER_BTN2,UALANI_FRONTIER_01,Survey the Frontier,standard,reveal_tiles,,0,,,,,
UALANI_FRONTIER_BTN3,UALANI_FRONTIER_01,The Full Frontier Address,explicit,morale_boost,,30,,,,,
PROT_01_S_BTN1,PROT_01_SUMMON,Make Eye Contact,standard,trigger_event,PROT_01_TAME,0,,,,,
PROT_01_S_BTN2,PROT_01_SUMMON,Hold Your Ground,standard,trigger_event,PROT_01_TAME,0,,,,,
PROT_01_T_BTN1,PROT_01_TAME,Acknowledge the Deescalation,standard,set_flag,prot_01_tame,0,,,,PROT_01_AGREE,
PROT_01_T_BTN2,PROT_01_TAME,File the Departmental Report — What Comes Next,standard,set_flag,prot_01_tame,0,,,,PROT_01_AGREE,
PROT_01_A_BTN1,PROT_01_AGREE,Accept the Alliance,standard,set_flag,prot_01_agreed,0,,,,,
PROT_01_A_BTN2,PROT_01_AGREE,The Complete Accord at Harper's Ferry,kinky_lewd,set_flag,prot_01_agreed,0,,,,,
PROT_02_S_BTN1,PROT_02_SUMMON,Hold Your Position,standard,trigger_event,PROT_02_TAME,0,,,,,
PROT_02_S_BTN2,PROT_02_SUMMON,Observe and Document,standard,trigger_event,PROT_02_TAME,0,,,,,
PROT_02_T_BTN1,PROT_02_TAME,Acknowledge the Deescalation,standard,set_flag,prot_02_tame,0,,,,PROT_02_AGREE,
PROT_02_T_BTN2,PROT_02_TAME,File the Departmental Report — What Comes Next,standard,set_flag,prot_02_tame,0,,,,PROT_02_AGREE,
PROT_02_A_BTN1,PROT_02_AGREE,Accept New Jersey's Commitment,standard,set_flag,prot_02_agreed,0,,,,,
PROT_02_A_BTN2,PROT_02_AGREE,The Full Pine Barrens Meeting,explicit,set_flag,prot_02_agreed,0,,,,,
PROT_03_S_BTN1,PROT_03_SUMMON,Approach Without Weapons,standard,trigger_event,PROT_03_TAME,0,,,,,
PROT_03_S_BTN2,PROT_03_SUMMON,Leave Provisions at the Clearing,standard,trigger_event,PROT_03_TAME,0,,,,,
PROT_03_T_BTN1,PROT_03_TAME,Acknowledge the Deescalation,standard,set_flag,prot_03_tame,0,,,,PROT_03_AGREE,
PROT_03_T_BTN2,PROT_03_TAME,File the Departmental Report — What Comes Next,standard,set_flag,prot_03_tame,0,,,,PROT_03_AGREE,
PROT_03_A_BTN1,PROT_03_AGREE,Accept Bigfoot's Guidance Through the Mountains,standard,set_flag,prot_03_agreed,0,,,,,
PROT_03_A_BTN2,PROT_03_AGREE,The Full Mountain Agreement,explicit,set_flag,prot_03_agreed,0,,,,,
PROT_04_S_BTN1,PROT_04_SUMMON,Request Indigenous Liaison,standard,trigger_event,PROT_04_TAME,0,,,,,
PROT_04_S_BTN2,PROT_04_SUMMON,Signal a Ceremonial Approach,standard,trigger_event,PROT_04_TAME,0,,,,,
PROT_04_T_BTN1,PROT_04_TAME,Acknowledge the Deescalation,standard,set_flag,prot_04_tame,0,,,,PROT_04_AGREE,
PROT_04_T_BTN2,PROT_04_TAME,File the Departmental Report — What Comes Next,standard,set_flag,prot_04_tame,0,,,,PROT_04_AGREE,
PROT_04_A_BTN1,PROT_04_AGREE,Accept the Thunderbird's Alignment,standard,set_flag,prot_04_agreed,0,,,,,
PROT_04_A_BTN2,PROT_04_AGREE,The Full Ceremonial Alliance,explicit,set_flag,prot_04_agreed,0,,,,,
PROT_05_S_BTN1,PROT_05_SUMMON,Present Continental Credentials,standard,trigger_event,PROT_05_TAME,0,,,,,
