trigger_id,event_id,trigger_type,tile_id,tile_owner,min_liberty_score,min_corruption,turn_min,turn_max,state_code,commander_archetype,protector_id,trigger_condition,priority
TRIG_001,DE_001,game_start,0,,,0,1,1,,,,,1
TRIG_002,DE_002,annual_date,0,,,0,0,9999,,,,1,3
TRIG_003,DE_003,annual_date,0,,,0,0,9999,,,,2,3
TRIG_004,DE_004,annual_date,0,,,0,0,9999,,,,7,3
TRIG_005,DE_005,annual_date,0,,,0,0,9999,,,,10,3
TRIG_033,CL_182,tile_liberated,182,USA,0,0,0,9999,,,,,2
TRIG_006,CL_001,tile_liberated,14,USA,0,0,0,9999,,,,,2
TRIG_007,CL_006,tile_liberated,11,USA,0,0,0,9999,,,,,2
TRIG_008,CL_007,tile_liberated,10,USA,0,0,0,9999,,,,,2
TRIG_009,CL_009,tile_liberated,76,USA,0,0,0,9999,,,,,2
TRIG_010,CX_001,tile_lost,188,UK,0,0,0,9999,,,,,1
TRIG_011,CX_005,tile_lost,11,UK,0,0,0,9999,,,,,2
TRIG_012,SL_001,state_liberated,0,,0,0,0,9999,PA,,,,2
TRIG_013,SL_004,state_liberated,0,,0,0,0,9999,VT,,,,2
TRIG_014,PROT_01_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_01,,1
TRIG_015,PROT_14_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_14,,1

TRIG_018,PROT_02_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_02,,1
TRIG_019,PROT_03_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_03,,1
TRIG_020,PROT_04_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_04,,1
TRIG_021,PROT_05_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_05,,1
TRIG_022,PROT_06_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_06,,1
TRIG_023,PROT_07_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_07,,1
TRIG_024,PROT_08_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_08,,1
TRIG_025,PROT_09_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_09,,1
TRIG_026,PROT_10_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_10,,1
TRIG_027,PROT_11_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_11,,1
TRIG_028,PROT_12_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_12,,1
TRIG_029,PROT_13_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_13,,1
TRIG_030,PROT_15_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_15,,1
TRIG_031,PROT_16_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_16,,1
TRIG_032,PROT_17_SUMMON,protector_summon,0,,0,0,0,9999,,,PROT_17,,1
TRIG_034,FORT_001,annual_date,0,,0,0,0,9999,,,,2,3
TRIG_035,FORT_001,annual_date,0,,0,0,0,9999,,,,3,3
TRIG_036,ARC_02_FIRST,commander_objective,0,,0,0,0,9999,,ARC_02,,1,2
TRIG_037,ARC_02_DONE,commander_objective,0,,0,0,0,9999,,ARC_02,,3,2
TRIG_038,ARC_03_FIRST,commander_objective,0,,0,0,0,9999,,ARC_03,,1,2
TRIG_039,ARC_03_DONE,commander_objective,0,,0,0,0,9999,,ARC_03,,3,2
TRIG_040,ARC_04_FIRST,commander_objective,0,,0,0,0,9999,,ARC_04,,1,2
TRIG_041,ARC_04_DONE,commander_objective,0,,0,0,0,9999,,ARC_04,,3,2
TRIG_042,ARC_05_FIRST,commander_objective,0,,0,0,0,9999,,ARC_05,,1,2
TRIG_043,ARC_05_DONE,commander_objective,0,,0,0,0,9999,,ARC_05,,3,2
TRIG_044,ARC_06_FIRST,commander_objective,0,,0,0,0,9999,,ARC_06,,1,2
TRIG_045,ARC_06_DONE,commander_objective,0,,0,0,0,9999,,ARC_06,,3,2
TRIG_046,ARC_07_FIRST,commander_objective,0,,0,0,0,9999,,ARC_07,,1,2
TRIG_047,ARC_07_DONE,commander_objective,0,,0,0,0,9999,,ARC_07,,3,2
TRIG_048,ARC_08_FIRST,commander_objective,0,,0,0,0,9999,,ARC_08,,1,2
TRIG_049,ARC_08_DONE,commander_objective,0,,0,0,0,9999,,ARC_08,,3,2
TRIG_050,ARC_09_FIRST,commander_objective,0,,0,0,0,9999,,ARC_09,,1,2
TRIG_051,ARC_09_DONE,commander_objective,0,,0,0,0,9999,,ARC_09,,3,2
TRIG_052,ARC_10_FIRST,commander_objective,0,,0,0,0,9999,,ARC_10,,1,2
TRIG_053,ARC_10_DONE,commander_objective,0,,0,0,0,9999,,ARC_10,,3,2
TRIG_054,ARC_11_FIRST,commander_objective,0,,0,0,0,9999,,ARC_11,,1,2
TRIG_055,ARC_11_DONE,commander_objective,0,,0,0,0,9999,,ARC_11,,3,2
TRIG_056,ARC_12_FIRST,commander_objective,0,,0,0,0,9999,,ARC_12,,1,2
TRIG_057,ARC_12_DONE,commander_objective,0,,0,0,0,9999,,ARC_12,,3,2
TRIG_058,ARC_13_FIRST,commander_objective,0,,0,0,0,9999,,ARC_13,,1,2
TRIG_059,ARC_13_DONE,commander_objective,0,,0,0,0,9999,,ARC_13,,3,2
TRIG_060,ARC_14_FIRST,commander_objective,0,,0,0,0,9999,,ARC_14,,1,2
TRIG_061,ARC_14_DONE,commander_objective,0,,0,0,0,9999,,ARC_14,,3,2
TRIG_062,ARC_15_FIRST,commander_objective,0,,0,0,0,9999,,ARC_15,,1,2
TRIG_063,ARC_15_DONE,commander_objective,0,,0,0,0,9999,,ARC_15,,3,2
TRIG_064,ARC_16_FIRST,commander_objective,0,,0,0,0,9999,,ARC_16,,1,2
TRIG_065,ARC_16_DONE,commander_objective,0,,0,0,0,9999,,ARC_16,,3,2
TRIG_066,ARC_17_FIRST,commander_objective,0,,0,0,0,9999,,ARC_17,,1,2
TRIG_067,ARC_17_DONE,commander_objective,0,,0,0,0,9999,,ARC_17,,3,2
TRIG_068,ARC_18_FIRST,commander_objective,0,,0,0,0,9999,,ARC_18,,1,2
TRIG_069,ARC_18_DONE,commander_objective,0,,0,0,0,9999,,ARC_18,,3,2
TRIG_070,ARC_19_FIRST,commander_objective,0,,0,0,0,9999,,ARC_19,,1,2
TRIG_071,ARC_19_DONE,commander_objective,0,,0,0,0,9999,,ARC_19,,3,2
TRIG_072,ARC_20_FIRST,commander_objective,0,,0,0,0,9999,,ARC_20,,1,2
TRIG_073,ARC_20_DONE,commander_objective,0,,0,0,0,9999,,ARC_20,,3,2
TRIG_074,ARC_21_FIRST,commander_objective,0,,0,0,0,9999,,ARC_21,,1,2
TRIG_075,ARC_21_DONE,commander_objective,0,,0,0,0,9999,,ARC_21,,3,2
TRIG_076,ARC_22_FIRST,commander_objective,0,,0,0,0,9999,,ARC_22,,1,2
TRIG_077,ARC_22_DONE,commander_objective,0,,0,0,0,9999,,ARC_22,,3,2
TRIG_078,ARC_23_FIRST,commander_objective,0,,0,0,0,9999,,ARC_23,,1,2
