building_type,modifier_category,modifier_name,current_effect,effect_resources_changed,colonial_rename_suggestion,design_notes
Farm,Technology,Irrigation,+1 food per level,food,Drainage Ditches,Colonial irrigation via hand-dug ditches and millponds
Farm,Technology,Calendar,+1 food per level,food,Planting Calendar,Farmers' almanac — Poor Richard's style timing
Farm,Technology,Engineering,+1 food per level,food,Land Survey,Land grants required surveying — Washington was a surveyor
Farm,Law,Rural Education Initiative,+1 science / -1 dollars cost,science+dollars cost,Frontier Schoolhouse Act,One-room schoolhouse tied to farmsteads
Farm,Law,Mercantilism,+1 dollars per level,dollars,Colonial Trade Act,Crown-enforced mercantile system — or colonial rejection of it
Farm,Governor,BREWER (L1),+1 dollars,dollars,Innkeeper (L1),Taverns = colonial info/commerce hubs
Farm,Governor,BREWER (L2),+2 dollars / +1 culture,dollars+culture,Innkeeper (L2),"Tavern culture — debates, pamphlets, organizing"
Farm,Governor,BREWER (L3),+3 dollars / +2 culture / +1 mandate,dollars+culture+mandate,Innkeeper (L3),Sons of Liberty meeting in back rooms
Farm,Governor,FARMER (L1),+1 food,food,Yeoman Farmer (L1),Independent freeholder — colonial ideal
Farm,Governor,FARMER (L2),+2 food / +1 wood,food+wood,Yeoman Farmer (L2),Clearing land for more acreage
Farm,Governor,FARMER (L3),+3 food / +2 wood / +1 dollars,food+wood+dollars,Yeoman Farmer (L3),Surplus crops sold at market
Farm,Governor,RECRUITER (L1),+10 manpower,manpower,Militia Muster (L1),County militia muster rolls
Farm,Governor,RECRUITER (L2),+20 manpower,manpower,Militia Muster (L2),
Farm,Governor,RECRUITER (L3),+30 manpower,manpower,Militia Muster (L3),
Farm,Tradition,Humble Folk,+1 culture,culture,Plain Folk Virtues,Quaker/Baptist values of simple honest labor
Farm,Tradition,Peasant Militias,+250 manpower,manpower,Minuteman Ready,Farmers who train as minutemen between harvests
Farm,Spell,Plentify,+1 food / +1 wood / -4 magic cost,food+wood+magic cost,Harvest Blessing,Ritual blessing of fields — tied to harvest festivals
