id,name,category,priority,status,notes
FIX_ARMY_BUFF,Fix _apply_army_buff() stub,CODE,P0,DONE,Already implemented. Also added _apply_ualani_aura() in world.gd for Spirit of the General adjacency effect.
FIX_GAME_OVER,Implement _trigger_game_over() and victory/defeat screen,CODE,P0,TODO,"world.gd:5660 — function referenced but undefined. Create it: show GameOverPanel, set win/loss state, halt turn loop. Depends on GOV-001."
FIX_CONTENT_TOGGLE,Wire explicit content filter to Settings booleans,CODE,P0,DONE,event_scene.gd:87-88 — return true hardcoded. Wire to Settings.content_kinky_lewd / Settings.content_explicit.
FIX_WIN_CONDITIONS,Implement win / loss condition checks,CODE,P0,DONE,"world.gd — add _check_win_conditions() called from _end_turn(): all-tiles-owned win, Canadian peace-treaty win, president-death loss."
WAR-001,WarRoomPanel: Add CloseButton and wire signal,EDITOR,P0,TODO,"WarRoomPanel.tscn — Add Button 'CloseButton', wire pressed → _on_close_button_pressed() (line 814)."
GOV-001,Create GameOverPanel.tscn,EDITOR,P0,TODO,New scene: overlay + title + reason label + Return button. Add to CanvasLayer in world.tscn. Wire to world.gd _trigger_game_over().
RES-001,Resource bar: add missing Manpower/Mandate/Happiness/Influence/Boats labels,EDITOR,P0,TODO,Top resource bar — add label nodes for the 5 missing resources. Match FoodLabel/GoldLabel pattern (icon Sprite + Label child of HBoxContainer).
MENU-001,Rebuild main_menu.tscn: video BG + 5-button panel,EDITOR,P0,TODO,VideoStreamPlayer BG + LeftPanel with 5 buttons. Instance PresidentialLibraryPanel + SettingsPanel as hidden children.
MENU-002,Create PresidentialLibraryPanel.tscn,EDITOR,P0,TODO,"Full-screen overlay, dark bg, 3-tab panel (GALLERY / RECORDS / JOURNAL), seal, CloseButton. Instance GalleryTab / RecordsTab / JournalTab."
MENU-003,Create GalleryTab.tscn: 4-col grid + lightbox,EDITOR,P0,TODO,"ScrollContainer → GridContainer (columns=4) + Lightbox overlay (DarkBG, FullArtRect, title, flavor, prev/next/close)."
MENU-004,Create GalleryTile.tscn: locked/unlocked tile,EDITOR,P0,TODO,Control (160x200): ArtRect + LockedOverlay (LockIcon + '???') + UnlockedTitle + HoverHint. Wire mouse signals.
MENU-005,Create RecordsTab.tscn: sidebar + entry panel,EDITOR,P0,TODO,"HSplitContainer: left=CategoryList (VBox, 25%), right=EntryPanel with icon/name/body/see-also."
MENU-006,Create JournalTab.tscn: entry list + memo panel,EDITOR,P0,TODO,"HSplitContainer: left=EntryList (30%), right=MemoPanel (classification/date/subject/body, parchment texture)."
MENU-007,Create SettingsPanel.tscn: 6-category sidebar,EDITOR,P0,TODO,"Full-screen overlay, SettingsContainer, 6-section sidebar: Audio/Display/Gameplay/Accessibility/Language/Data. Wire all controls."
MENU-008,AutoLoad: register LibraryData + RecordsDatabase,EDITOR,P0,TODO,"Project Settings → AutoLoad. Add LibraryData.gd (first), then RecordsDatabase.gd. Both must load before world."
VP_FIRST_MEETING,VP First Meeting,EVENT,P1,TODO,
VP_COUNSEL,VP Counsel,EVENT,P1,TODO,
VP_DOUBT,VP Doubt [sensual],EVENT,P1,TODO,
VP_LOYALTY_TEST,VP Loyalty Test,EVENT,P1,TODO,
VP_BATTLEFIELD,VP Battlefield [explicit],EVENT,P1,TODO,
VP_PRE_ELECTION,VP Pre-Election [explicit],EVENT,P1,TODO,
VP_SACRIFICE,VP Sacrifice,EVENT,P1,TODO,
VP_SOLIDARITY,VP Solidarity,EVENT,P1,TODO,
VP_LEGACY,VP Legacy [explicit],EVENT,P1,TODO,
WH_SECRET_01,White House Secret 01 [sensual],EVENT,P1,TODO,
WH_SECRET_04,White House Secret 04,EVENT,P1,TODO,
WH_SECRET_05,White House Secret 05,EVENT,P1,TODO,
WH_SECRET_06,White House Secret 06,EVENT,P1,TODO,
WH_SECRET_10,White House Secret 10 [sensual],EVENT,P1,TODO,
WH_SECRET_11,White House Secret 11,EVENT,P1,TODO,
PROT_02_AGREE,Mothman: Agree,EVENT,P1,TODO,
PROT_03_SUMMON,Bigfoot: Summon,EVENT,P1,TODO,
PROT_03_TAME,Bigfoot: Tame,EVENT,P1,TODO,
PROT_03_AGREE,Bigfoot: Agree,EVENT,P1,TODO,
PROT_04_SUMMON,Thunderbird: Summon,EVENT,P1,TODO,
PROT_04_TAME,Thunderbird: Tame,EVENT,P1,TODO,
PROT_04_AGREE,Thunderbird: Agree,EVENT,P1,TODO,
PROT_05_SUMMON,Headless Horseman: Summon,EVENT,P1,TODO,
PROT_05_TAME,Headless Horseman: Tame,EVENT,P1,TODO,
PROT_05_AGREE,Headless Horseman: Agree,EVENT,P1,TODO,
PROT_06_SUMMON,Chessie: Summon,EVENT,P1,TODO,
PROT_06_TAME,Chessie: Tame,EVENT,P1,TODO,
PROT_06_AGREE,Chessie: Agree,EVENT,P1,TODO,
PROT_07_SUMMON,Bell Witch: Summon,EVENT,P1,TODO,
PROT_07_TAME,Bell Witch: Tame,EVENT,P1,TODO,
PROT_07_AGREE,Bell Witch: Agree,EVENT,P1,TODO,
PROT_08_TAME,Old Ironsides: Tame,EVENT,P1,TODO,
PROT_08_AGREE,Old Ironsides: Agree,EVENT,P1,TODO,
PROT_09_SUMMON,Valley Forge Guardian: Summon,EVENT,P1,TODO,
PROT_09_TAME,Valley Forge Guardian: Tame,EVENT,P1,TODO,
PROT_09_AGREE,Valley Forge Guardian: Agree,EVENT,P1,TODO,
PROT_10_SUMMON,Snallygaster: Summon,EVENT,P1,TODO,
PROT_10_TAME,Snallygaster: Tame,EVENT,P1,TODO,
PROT_10_AGREE,Snallygaster: Agree,EVENT,P1,TODO,
PROT_11_SUMMON,Paul Revere: Summon,EVENT,P1,TODO,
PROT_11_TAME,Paul Revere: Tame,EVENT,P1,TODO,
PROT_11_AGREE,Paul Revere: Agree,EVENT,P1,TODO,
PROT_12_SUMMON,Liberty Bell: Summon,EVENT,P1,TODO,
PROT_12_TAME,Liberty Bell: Tame,EVENT,P1,TODO,
PROT_12_AGREE,Liberty Bell: Agree,EVENT,P1,TODO,
PROT_13_SUMMON,Green Mountain Ghost: Summon,EVENT,P1,TODO,
PROT_13_TAME,Green Mountain Ghost: Tame,EVENT,P1,TODO,
PROT_13_AGREE,Green Mountain Ghost: Agree,EVENT,P1,TODO,
PROT_15_SUMMON,Skunk Ape: Summon,EVENT,P1,TODO,
PROT_15_TAME,Skunk Ape: Tame,EVENT,P1,TODO,
PROT_15_AGREE,Skunk Ape: Agree,EVENT,P1,TODO,
PROT_16_SUMMON,Eternal Minuteman: Summon,EVENT,P1,TODO,
PROT_16_TAME,Eternal Minuteman: Tame,EVENT,P1,TODO,
PROT_16_AGREE,Eternal Minuteman: Agree,EVENT,P1,TODO,
CHALCH_SUMMON,Chalchiuhtotolin: Summon,EVENT,P1,TODO,
CHALCH_Q1,Chalchiuhtotolin: Question 1,EVENT,P1,TODO,
CHALCH_Q2,Chalchiuhtotolin: Question 2,EVENT,P1,TODO,
CHALCH_Q3,Chalchiuhtotolin: Question 3,EVENT,P1,TODO,
CHALCH_AGREE,Chalchiuhtotolin: Agree,EVENT,P1,TODO,
UALANI_AMBUSH_01,Ualani: Ambush [explicit],EVENT,P1,TODO,
UALANI_DIGNITARY_01,Ualani: Dignitary [explicit],EVENT,P1,TODO,
UALANI_MEMORIAL_01,Ualani: Memorial [explicit],EVENT,P1,TODO,
UALANI_WOUNDED_01,Ualani: Wounded [explicit],EVENT,P1,TODO,
UALANI_WINTER_01,Ualani: Winter,EVENT,P1,TODO,
UALANI_FORGE_01,Ualani: Forge [explicit],EVENT,P1,TODO,
UALANI_CULPER_01,Ualani: Culper Ring [explicit],EVENT,P1,TODO,
UALANI_CULPER_BRIEF_01,Ualani: Culper Brief,EVENT,P1,TODO,
UALANI_ALLIANCE_01,Ualani: Alliance [explicit],EVENT,P1,TODO,
UALANI_FRONTIER_01,Ualani: Frontier [explicit],EVENT,P1,TODO,
HARVEST_001,Tile Crisis: Harvest,EVENT,P1,TODO,
HARVEST_VISIT_01,Tile Crisis: Harvest Visit [explicit],EVENT,P1,TODO,
HARBOR_001,Tile Crisis: Harbor,EVENT,P1,TODO,
HARBOR_ESCORT_01,Tile Crisis: Harbor Escort,EVENT,P1,TODO,
HARBOR_BURN_01,Tile Crisis: Harbor Burn,EVENT,P1,TODO,
FORGE_001,Tile Crisis: Forge,EVENT,P1,TODO,
FORGE_REINFORCE_01,Tile Crisis: Forge Reinforce,EVENT,P1,TODO,
FORGE_EVACUATE_01,Tile Crisis: Forge Evacuate,EVENT,P1,TODO,
CORRUPT_001,Tile Crisis: Corruption,EVENT,P1,TODO,
CORRUPT_TRIAL_01,Tile Crisis: Corruption Trial,EVENT,P1,TODO,
CORRUPT_REFORM_01,Tile Crisis: Corruption Reform,EVENT,P1,TODO,
CORRUPT_DEAL_01,Tile Crisis: Corruption Deal,EVENT,P1,TODO,
BORDER_001,Tile Crisis: Border,EVENT,P1,TODO,
BORDER_ASSERT_01,Tile Crisis: Border Assert,EVENT,P1,TODO,
BORDER_SURVEY_01,Tile Crisis: Border Survey,EVENT,P1,TODO,
GARRISON_001,Tile Crisis: Garrison,EVENT,P1,TODO,
CRISIS_CLAIM_001,Tile Crisis: Claim,EVENT,P1,TODO,
TURNCOAT_001,Tile Crisis: Turncoat,EVENT,P1,TODO,
MEMORIAL_001,Tile Crisis: Memorial,EVENT,P1,TODO,
MEMORIAL_RESTORE_01,Tile Crisis: Memorial Restore,EVENT,P1,TODO,
ELECTION_SEASON,Tile Crisis: Election Season,EVENT,P1,TODO,
STUMP_SPEECH_01,Tile Crisis: Stump Speech [explicit],EVENT,P1,TODO,
ELECTION_NIGHT_WIN,Tile Crisis: Election Night Win,EVENT,P1,TODO,
ELECTION_NIGHT_LOSE,Tile Crisis: Election Night Lose,EVENT,P1,TODO,
FORT_003,Fort Chain: Carlisle Fires the Commander,EVENT,P1,TODO,
FORT_004,Fort Chain: Fort 004,EVENT,P1,TODO,
FORT_005,Fort Chain: Fort 005 [explicit],EVENT,P1,TODO,
COLLAPSE_01,Collapse 01,EVENT,P1,TODO,
COLLAPSE_02,Collapse 02 [explicit],EVENT,P1,TODO,
CL_182,City Liberated: Philadelphia,EVENT,P1,TODO,
CL_001,City Liberated 001,EVENT,P1,TODO,
CL_006,City Liberated 006,EVENT,P1,TODO,
CL_007,City Liberated 007,EVENT,P1,TODO,
CL_009,City Liberated 009,EVENT,P1,TODO,
CX_001,City Lost 001,EVENT,P1,TODO,
CX_005,City Lost 005,EVENT,P1,TODO,
SL_001,State Liberated: Pennsylvania,EVENT,P1,TODO,
SL_004,State Liberated: Vermont,EVENT,P1,TODO,
STATE_REBEL_01,State Rebel,EVENT,P1,TODO,
STATE_REINTEGRATED_01,State Reintegrated,EVENT,P1,TODO,
DE_001,Date Event 001,EVENT,P1,TODO,
DE_002,Date Event 002,EVENT,P1,TODO,
DE_003,Date Event 003,EVENT,P1,TODO,
DE_004,Date Event 004,EVENT,P1,TODO,
DE_005,Date Event 005,EVENT,P1,TODO,
ARC_04_FIRST,Commander Arc 04: First,EVENT,P1,TODO,
ARC_04_DONE,Commander Arc 04: Done,EVENT,P1,TODO,
ARC_05_FIRST,Commander Arc 05: First,EVENT,P1,TODO,
ARC_05_DONE,Commander Arc 05: Done,EVENT,P1,TODO,
ARC_06_FIRST,Commander Arc 06: First,EVENT,P1,TODO,
ARC_06_DONE,Commander Arc 06: Done,EVENT,P1,TODO,
ARC_07_FIRST,Commander Arc 07: First,EVENT,P1,TODO,
ARC_07_DONE,Commander Arc 07: Done,EVENT,P1,TODO,
ARC_08_FIRST,Commander Arc 08: First,EVENT,P1,TODO,
ARC_08_DONE,Commander Arc 08: Done,EVENT,P1,TODO,
ARC_09_FIRST,Commander Arc 09: First,EVENT,P1,TODO,
ARC_09_DONE,Commander Arc 09: Done,EVENT,P1,TODO,
ARC_10_FIRST,Commander Arc 10: First,EVENT,P1,TODO,
ARC_10_DONE,Commander Arc 10: Done,EVENT,P1,TODO,
ARC_11_FIRST,Commander Arc 11: First,EVENT,P1,TODO,
ARC_11_DONE,Commander Arc 11: Done,EVENT,P1,TODO,
ARC_12_FIRST,Commander Arc 12: First,EVENT,P1,TODO,
ARC_12_DONE,Commander Arc 12: Done,EVENT,P1,TODO,
ARC_13_FIRST,Commander Arc 13: First,EVENT,P1,TODO,
ARC_13_DONE,Commander Arc 13: Done,EVENT,P1,TODO,
ARC_14_FIRST,Commander Arc 14: First,EVENT,P1,TODO,
ARC_14_DONE,Commander Arc 14: Done,EVENT,P1,TODO,
ARC_15_FIRST,Commander Arc 15: First,EVENT,P1,TODO,
ARC_15_DONE,Commander Arc 15: Done,EVENT,P1,TODO,
ARC_16_FIRST,Commander Arc 16: First,EVENT,P1,TODO,
ARC_16_DONE,Commander Arc 16: Done,EVENT,P1,TODO,
ARC_17_FIRST,Commander Arc 17: First,EVENT,P1,TODO,
ARC_17_DONE,Commander Arc 17: Done,EVENT,P1,TODO,
ARC_18_FIRST,Commander Arc 18: First,EVENT,P1,TODO,
ARC_18_DONE,Commander Arc 18: Done,EVENT,P1,TODO,
ARC_19_FIRST,Commander Arc 19: First,EVENT,P1,TODO,
ARC_19_DONE,Commander Arc 19: Done,EVENT,P1,TODO,
ARC_21_FIRST,Commander Arc 21: First,EVENT,P1,TODO,
ARC_21_DONE,Commander Arc 21: Done,EVENT,P1,TODO,
ARC_22_FIRST,Commander Arc 22: First,EVENT,P1,TODO,
ARC_22_DONE,Commander Arc 22: Done,EVENT,P1,TODO,
ARC_23_FIRST,Commander Arc 23: First,EVENT,P1,TODO,
ARC_23_DONE,Commander Arc 23: Done,EVENT,P1,TODO,
ARC_24_FIRST,Commander Arc 24: First,EVENT,P1,TODO,
ARC_24_DONE,Commander Arc 24: Done,EVENT,P1,TODO,
ARC_25_FIRST,Commander Arc 25: First,EVENT,P1,TODO,
ARC_25_DONE,Commander Arc 25: Done,EVENT,P1,TODO,
GOV_LOYAL_ARC_01,Loyal Governor Arc 01,EVENT,P1,TODO,
GOV_LOYAL_ARC_02,Loyal Governor Arc 02,EVENT,P1,TODO,
GOV_LOYAL_ARC_03,Loyal Governor Arc 03,EVENT,P1,TODO,
GOV_LOYAL_ARC_04,Loyal Governor Arc 04,EVENT,P1,TODO,
GOV_LOYAL_ARC_05,Loyal Governor Arc 05,EVENT,P1,TODO,
GOV_LOYAL_ARC_06,Loyal Governor Arc 06,EVENT,P1,TODO,
GOV_LOYAL_ARC_07,Loyal Governor Arc 07,EVENT,P1,TODO,
GOV_LOYAL_ARC_08,Loyal Governor Arc 08,EVENT,P1,TODO,
GOV_LOYAL_ARC_09,Loyal Governor Arc 09,EVENT,P1,TODO,
GOV_LOYAL_ARC_10,Loyal Governor Arc 10,EVENT,P1,TODO,
Benjamin Franklin,Icon: Benjamin Franklin,ICON,P1,TODO,
Abigail Adams,Icon: Abigail Adams,ICON,P1,TODO,
Alexander Hamilton,Icon: Alexander Hamilton,ICON,P1,TODO,
Phillis Wheatley,Icon: Phillis Wheatley,ICON,P1,TODO,
Thomas Jefferson,Icon: Thomas Jefferson,ICON,P1,TODO,
Harriet Tubman,Icon: Harriet Tubman,ICON,P1,TODO,
Frederick Douglass,Icon: Frederick Douglass,ICON,P1,TODO,
Sitting Bull,Icon: Sitting Bull,ICON,P1,TODO,
Sojourner Truth,Icon: Sojourner Truth,ICON,P1,TODO,
Chief Joseph,Icon: Chief Joseph,ICON,P1,TODO,
Theodore Roosevelt,Icon: Theodore Roosevelt,ICON,P1,TODO,
Susan B. Anthony,Icon: Susan B. Anthony,ICON,P1,TODO,
Ida B. Wells,Icon: Ida B. Wells,ICON,P1,TODO,
Eleanor Roosevelt,Icon: Eleanor Roosevelt,ICON,P1,TODO,
Cesar Chavez,Icon: Cesar Chavez,ICON,P1,TODO,
Jimmy Carter,Icon: Jimmy Carter,ICON,P1,TODO,
Dolores Huerta,Icon: Dolores Huerta,ICON,P1,TODO,
Sherman Antitrust Act,Doctrine: Sherman Antitrust Act,DOCTRINE,P1,TODO,
Social Security Act,Doctrine: Social Security Act,DOCTRINE,P1,TODO,
Inland Maritime Expertise,Doctrine: Inland Maritime Expertise,DOCTRINE,P1,TODO,
First Amendment,Doctrine: First Amendment,DOCTRINE,P1,TODO,
National Research Act,Doctrine: National Research Act,DOCTRINE,P1,TODO,
Height of Buildings Act,Doctrine: Height of Buildings Act,DOCTRINE,P1,TODO,
Defense Production Act,Doctrine: Defense Production Act,DOCTRINE,P1,TODO,
Sons of Liberty,Faction: Sons of Liberty,FACTION,P1,TODO,
Continental Congress,Faction: Continental Congress,FACTION,P1,TODO,
Common Cause,Faction: Common Cause,FACTION,P1,TODO,
Abolitionist League,Faction: Abolitionist League,FACTION,P1,TODO,
Free Workers Union,Faction: Free Workers Union,FACTION,P1,TODO,
